2013-12-05 15:42:59,935 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:42:59,943 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:42:59,945 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:45:13,300 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:45:13,308 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:45:13,316 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:45:13,318 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:46:07,115 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:46:07,117 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:46:07,121 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:46:07,125 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:46:35,488 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:46:35,491 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:46:35,498 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:46:35,500 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:46:39,750 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:46:39,752 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:46:39,760 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:46:39,762 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:47:34,538 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:47:34,541 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:47:34,548 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:47:34,550 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:52:36,294 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:52:36,296 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:52:36,312 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:52:36,320 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:52:49,925 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:52:49,927 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:52:49,935 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:52:49,937 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:53:34,620 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:53:34,623 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:53:34,631 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:53:34,633 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:53:50,237 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:53:50,239 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:53:50,247 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:53:50,249 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:53:54,203 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:53:54,206 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:53:54,213 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:53:54,215 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/landi/Escritorio/Nico/Informatorio/Java/practServlet/Ejer2/src/test/resources
2013-12-05 15:59:06,154 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-05 15:59:06,156 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-05 15:59:06,164 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
